Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross
Thriller,Heavy,None,PG-13 or R,Light,Sphere,Medium,2/13/1998,73000000,37068294,50168294
Action,Light,Light,PG-13,Medium,The Man In The Iron Mask,Medium,3/13/1998,35000000,56968169,56968169
Comedy,Heavy,Medium,R,Medium,Half Baked,Light,1/16/1998,8000000,17394881,17394881
Romantic Fantasy,Heavy,None,R,Medium,Sliding Doors,Light,4/24/1998,6000000,11911200,58809149
Action-thriller,Heavy,None,R,None,Hard Rain,Heavy,1/16/1998,70000000,19870567,19870567
Action,Medium,None,R,None,Firestorm,Heavy,1/9/1998,19000000,8123860,8123860
Drama,Heavy,Light,R,Light,Jackie Brown,Medium,12/25/1997,12000000,39673162,74727492
Drama,None,Light,Not yet rated by the MPAA,Medium,Bang,None,4/1/1996,10000,527,527
Science-fiction,Heavy,Medium,R,Heavy,The Postman,Heavy,12/25/1997,80000000,17650704,20841123
Comedy,Medium,Medium,PG-13,Medium,As Good As It Gets,None,12/24/1997,50000000,148478011,314111923
Action,Light,Medium,PG-13,Medium,Tomorrow Never Dies,Heavy,12/19/1997,110000000,125304276,339504276
Drama,Heavy,Medium,PG-13,Light,Titanic,Medium,12/19/1997,200000000,659363944,2208208395
Courtroom Drama,None,None,R,None,A Few Good Men,Light,12/11/1992,33000000,141340178,236500000
Drama,None,Medium,R,Medium,The Crying Game,Medium,11/25/1992,4000000,62546695,62546695
Comedy,Medium,None,Not submitted to MPAA,Light,A Christmas Story,Light,11/18/1983,3250000,20605209,20605209
Musical,None,None,G,None,The Muppet Christmas Carol,Light,12/11/1992,12000000,27281507,27492918
Drama,None,None,R,None,Reservoir Dogs,Heavy,10/23/1992,1200000,2832029,2832029
Thriller,Heavy,None,R,Light,The Bodyguard,Medium,11/25/1992,25000000,121945720,410900000
Family,None,None,G,None,Aladdin,Medium,11/11/1992,28000000,217350219,504050219
Comedy,Light,None,PG,Light,Home Alone 2: Lost In New York,Heavy,11/20/1992,20000000,173585516,358994850
Drama,Medium,None,PG-13,Medium,Malcolm X,Medium,11/18/1992,35000000,48169910,48169910
Action,Light,None,R,Light,The Last Of The Mohicans,Heavy,9/25/1992,40000000,75505856,75505856
Comedy,Light,None,PG,None,The Mighty Ducks,Light,10/2/1992,10000000,50752337,50752337
Science Fiction,Light,Medium,R,None,Blade Runner,Heavy,6/25/1982,28000000,32656328,39252944
Comedy,None,Light,PG-13,Medium,Johnny Suede,Medium,1/1/1991,500000,55000,55000
Drama,None,Medium,R,Medium,Light Sleeper,Medium,9/21/1992,5000000,1050861,1050861
Comedy,None,None,PG-13,None,Buffy The Vampire Slayer,Medium,7/31/1992,7000000,14231669,14231669
Drama,Heavy,None,R,None,Glengarry Glen Ross,None,9/30/1992,12500000,10725228,10725228
Comedy,None,Light,PG-13,Light,Death Becomes Her,Light,7/31/1992,55000000,58422650,149022650
Comedy,None,Medium,R,Heavy,Boomerang,Light,7/1/1992,42000000,70052444,131052444
Western,None,None,R,Heavy,Unforgiven,Heavy,8/7/1992,14400000,101157447,159157447
Suspense,None,None,R,Medium,Raising Cain,Medium,8/7/1992,11000000,21171695,21171695
Action,Medium,None,R,Light,Patriot Games,Heavy,6/5/1992,45000000,83287363,178100000
Comedy,Medium,None,PG,None,A League Of Their Own,Light,7/1/1992,40000000,107533925,132440066
Action-adventure,Light,None,PG,Light,Batman Returns,Heavy,6/18/1992,80000000,162833635,266824291
Horror,None,None,R,Light,Alien 3,Heavy,5/22/1992,55000000,54927174,158500000
Crime,Medium,None,R,Medium,Lethal Weapon 3,Heavy,5/15/1992,35000000,144731527,319700000
Comedy,Heavy,Medium,R,Medium,The Player,Light,4/10/1992,8000000,21706101,28876702
Horror,None,Heavy,R,Medium,Split Second,Heavy,5/1/1992,7000000,5430822,5430822
Adventure-drama,None,None,None,Light,Casablanca,Light,1/23/1943,1039000,10462500,10462500
Comedy,None,None,R,Medium,My Cousin Vinny,Light,3/13/1992,11000000,52929168,52929168
Drama,None,Medium,PG-13,None,Medicine Man,Medium,2/7/1992,40000000,44948240,44948240
Drama,None,None,PG-13,None,Radio Flyer,Medium,2/21/1992,35000000,4651977,4651977
Adventure-Comedy,None,None,PG-13,Light,Memoirs Of An Invisible Man,None,2/28/1992,40000000,14358033,14358033
Drama,None,None,PG-13,None,Fried Green Tomatoes,Medium,12/27/1991,11000000,81204830,81204830
Comedy,Medium,None,PG-13,Light,Mrs. Doubtfire,None,11/24/1993,25000000,219195051,441286003
Drama,Light,None,PG-13,None,Robocop 3,Medium,11/5/1993,22000000,10696210,10696210
Action-adventure,Light,None,PG,Light,The Three Musketeers,Medium,10/21/2011,90000000,20377913,139877913
Comedy,Light,None,PG,Light,The Beverly Hillbillies,Light,10/15/1993,25000000,42222647,55598481
Comedy of manners,None,None,PG,None,The Remains Of The Day,None,11/5/1993,15000000,22954968,63954968
Horror,Light,Medium,R,Light,Warlock: The Armageddon,Heavy,9/24/1993,3000000,3902679,3902679
Comedy,Heavy,None,R,Medium,Dazed And Confused,Medium,9/24/1993,6900000,7950889,7950889
Drama,Medium,Medium,PG-13,Medium,Ruby In Paradise,None,10/1/1993,800000,1001437,1001437
Civil War Drama,Heavy,None,PG,None,Gettysburg,Medium,10/8/1993,25000000,10731997,10731997
Science Fiction Drama,Heavy,Medium,R,Light,Fortress,Heavy,9/3/1993,12000000,6730578,46730578
Comedy,Light,Medium,PG,None,Airborne,Light,9/14/2012,1200000,0,0
Comedy,Light,None,PG,None,Cool Runnings,Light,10/1/1993,14000000,68856263,155056263
Drama,Light,None,PG,Light,The Age Of Innocence,None,9/17/1993,34000000,32014993,32014993
Martial Arts Drama,Medium,None,PG-13,None,Only The Strong,Heavy,8/27/1993,6000000,3273588,3273588
Horror,Heavy,Medium,R,Heavy,Jason Goes To Hell: The Final Friday,Heavy,8/13/1993,3000000,15935068,15935068
Drama,Heavy,Heavy,R (should be NC-17),Heavy,True Romance,Heavy,9/10/1993,12500000,12281000,12309980
Drama,Heavy,None,R,Medium,Poetic Justice,Medium,7/23/1993,14000000,27450453,27450453
Comedy,Light,None,PG-13,None,Hocus Pocus,Light,7/16/1993,28000000,39360491,39360491
Drama,None,Light,Not yet rated by the MPAA,Light,The Piano,Light,11/12/1993,7000000,40157856,40168957
Drama,Heavy,None,PG-13,None,The Fugitive,Medium,8/6/1993,44000000,183875760,353715317
Drama,Heavy,None,R,Light,The Firm,Heavy,6/30/1993,42000000,158340892,270340892
Science fiction fantasy thriller,Light,None,PG-13,None,Jurassic Park,Heavy,6/11/1993,63000000,395708305,1038812584
Drama,Medium,Medium,R,Medium,Menace Ii Society,Heavy,5/26/1993,3500000,27731527,27731527
Action,Heavy,None,R,None,Cliffhanger,Heavy,5/28/1993,65000000,84049211,255000000
Animated Fantasy,None,None,G,None,Snow White And The Seven Dwarfs,Light,12/21/1937,1488000,184925486,184925486
Drama,None,None,PG,None,Free Willy,Light,7/16/1993,20000000,77698625,153698625
Gang drama,Heavy,Medium,R,None,Bound By Honor,None,4/16/1993,35000000,4496583,4496583
Science Fiction,Light,Light,PG-13,None,Super Mario Bros.,Medium,5/28/1993,42000000,20844907,20844907
Thriller,Heavy,None,R,None,The Dark Half,Medium,4/23/1993,15000000,9579068,9579068
Comedy,Light,Light,PG-13,Light,Much Ado About Nothing,Light,5/7/1993,8000000,22549338,22549338
Action,Medium,None,PG,None,The Adventures Of Huck Finn,Medium,4/2/1993,6500000,24103594,24103594
Action,None,None,R,Light,El Mariachi,Medium,2/26/1993,7000,2040920,2041928
Action-adventure,Light,None,PG,None,Teenage Mutant Ninja Turtles Iii,Heavy,3/19/1993,21000000,42273609,42273609
Comedy,Light,None,PG,Light,Groundhog Day,Light,2/12/1993,14600000,70906973,70906973
Action romance,Medium,Medium,R,Medium,Nowhere To Run,Heavy,1/15/1993,15000000,22189039,52189039
Action-Adventure,Heavy,None,R,None,Trespass,Heavy,10/14/2011,35000000,16816,786532
Drama,Heavy,Heavy,R,Heavy,Hoffa,Heavy,12/25/1992,35000000,23365858,28391473
Drama,Light,None,PG-13,None,Alive,Light,1/15/1993,32000000,36299670,36299670
Police-Action,None,None,PG-13,None,Kindergarten Cop,None,12/21/1990,26000000,91457688,202000000
Science Fiction,None,None,PG-13,None,Edward Scissorhands,None,12/7/1990,20000000,53976987,53976987
Comedy,None,None,PG,None,Home Alone,None,11/16/1990,15000000,285761243,476684675
Drama,None,None,PG probably,None,Dances With Wolves,None,11/9/1990,19000000,184208842,424200000
Western,None,None,PG-13,None,Quigley Down Under,None,10/19/1990,20000000,21413105,21413105
Animation,None,None,Not rated,None,Fantasia,None,11/13/1940,2280000,83320000,83320000
Drama,None,None,PG-13,None,Ghost,None,7/13/1990,22000000,217631306,517600000
Action-Thriller,None,None,R,None,Die Hard 2,None,7/3/1990,70000000,117323878,239814025
Drama,None,None,PG-13,None,Days Of Thunder,None,6/27/1990,60000000,82670733,157670733
Animation,None,None,G,None,The Jungle Book,None,4/15/2016,175000000,364001123,963819542
Animation,None,None,G,None,The Jungle Book,None,12/25/1994,27000000,44342956,44342956
Drama,None,None,R,None,Flatliners,None,8/10/1990,26000000,61308153,61308153
Drama,None,None,R,None,Flatliners,None,9/29/2017,20000000,16883115,45075341
Horror-Thriller,None,None,PG-13,None,Arachnophobia,None,7/18/1990,31000000,53208180,53208180
Comedy-Drama a wry social satire from a slightly conservative perspective.,None,None,PG-13,None,Metropolitan,None,8/3/1990,430000,2938000,2938000
Crime,None,None,R,None,Goodfellas,None,9/19/1990,25000000,46743809,46777347
Romantic Drama,None,None,R,None,Pretty Woman,None,3/23/1990,14000000,178406268,432645872
Fantasy,None,None,PG,None,Dick Tracy,None,6/15/1990,47000000,103738726,162738726
Science fiction,None,None,PG,None,Spaced Invaders,None,4/27/1990,3000000,15000000,15000000
Horror,Medium,Light,R,Heavy,May,Heavy,2/7/2003,1750000,145540,634803
Drama,Heavy,Medium,R,Heavy,Monster,Heavy,12/24/2003,5000000,34469210,64240813
Comedy,Heavy,Medium,PG-13,Light,Calendar Girls,None,12/19/2003,10000000,31011616,93074616
Drama,Medium,Medium,R,Medium,House Of Sand And Fog,Heavy,12/19/2003,16500000,13005485,16157923
Drama,Light,Heavy,Not Yet Rated,Heavy,Cold Mountain,Heavy,12/25/2003,80000000,95632614,165173909
Documentary,Heavy,Light,Not Rated,None,Touching The Void,Light,1/23/2004,2000000,4593598,15396525
Science Fiction,Medium,Light,PG-13,Light,Big Fish,Light,12/10/2003,70000000,66432867,123954323
Drama,Heavy,Medium,R,Medium,All The Real Girls,Medium,2/14/2003,1000000,549666,703020
Comedy,Heavy,Medium,PG-13,Medium,Stuck On You,Light,12/12/2003,55000000,33832741,63537164
Drama,Light,None,PG-13,Medium,Girl With A Pearl Earring,Light,12/12/2003,12000000,11634362,43274797
Science Fiction,Medium,None,PG-13,None,Paycheck,Medium,12/25/2003,60000000,53789313,98819789
Family,None,Light,PG,None,Peter Pan,Light,12/25/2003,100000000,48417850,95255485
Family,None,Light,PG,None,Peter Pan,Light,2/5/1953,4000000,87400000,87400000
Comic Fantasy,None,None,R,None,Dogma,None,11/12/1999,10000000,30651422,43948865
Comedy,None,None,PG-13,None,Three To Tango,None,10/22/1999,20000000,10570375,10570375
Horror,None,None,R,None,Bats,None,10/22/1999,6500000,10155691,10155691
Drama,None,None,R,None,Bringing Out The Dead,None,10/22/1999,32000000,16640210,16640210
Comic drama,None,None,PG-13,None,Crazy In Alabama,None,10/22/1999,15000000,1954202,1954202
Comedy,None,None,R,None,The Best Man,None,10/22/1999,9000000,34102780,34572780
Historical Civil War Drama,None,None,R,None,Ride With The Devil,None,11/24/1999,35000000,630779,630779
Apocalyptic Action-adventure,None,None,PG-13,None,The Omega Code,None,10/15/1999,7200000,12610552,12678312
Animated action comedy,None,None,G,None,Toy Story 2,None,11/19/1999,90000000,245852179,511358276
Science Fiction,None,None,R,None,Being John Malkovich,None,10/29/1999,13000000,22858926,32382381
Drama,None,None,R,None,Fight Club,None,10/15/1999,65000000,37030102,100851705
Comedic drama,None,None,R,None,Sugar Town,None,9/17/1999,250000,178095,178095
Comedy,None,None,PG-13,None,"Happy, Texas",None,10/1/1999,1700000,2039192,2891228
Spoof,None,None,PG-13,None,Superstar,None,10/8/1999,14000000,30628981,30628981
Romantic comedy drama,None,None,R,None,The Story Of Us,None,10/15/1999,50000000,27100030,27100030
Drama,None,None,R,None,Random Hearts,None,10/8/1999,64000000,31054924,63200000
Drama,None,None,PG-13,None,Anywhere But Here,None,11/12/1999,23000000,18653615,18653615
War,None,None,R,None,Three Kings,None,10/1/1999,48000000,60652036,107752036
"Satire, Allegory, Fable",None,None,R,None,Breakfast Of Champions,None,9/17/1999,12000000,178287,178287
Thriller,None,None,R,None,Double Jeopardy,None,9/24/1999,40000000,116735231,177835231
Comedy,None,None,PG-13,None,Drive Me Crazy,None,10/1/1999,8000000,17843379,22591451
Comedy,None,None,R,None,Mumford,None,9/24/1999,28700000,4559569,4559569
Children's Fantasy,None,None,G,None,The Adventures Of Elmo In Grouchland,None,10/1/1999,17000000,11634458,11634458
Spoof,None,None,Not rated,None,Stiff Upper Lips,None,8/27/1999,5700000,69582,69582
Drama,None,None,R,None,American Beauty,None,9/15/1999,15000000,130058047,356258047
Horror,None,None,R,None,Stir Of Echoes,None,9/10/1999,12000000,21133087,21133087
Religious Fantasy,None,None,R,None,Stigmata,None,9/10/1999,32000000,50041732,89441732
Comedy,None,None,R,None,Love Stinks,None,9/10/1999,4000000,2793776,2793776
Action,None,None,PG-13,None,Blue Streak,None,9/17/1999,36000000,68208190,117448157
Film Noir,None,None,R,None,The Limey,None,10/8/1999,10000000,3193102,6030047
Romantic Sports Drama,None,None,PG-13,None,For Love Of The Game,None,9/17/1999,50000000,35188640,46112640
Real Life Drama,None,None,G,None,The Straight Story,None,10/15/1999,10000000,6197866,6197866
Comedy,Heavy,Heavy,R,Medium,Detroit Rock City,Medium,8/13/1999,16000000,4217115,5825314
Drama,None,None,PG-13,None,Brokedown Palace,None,8/13/1999,25000000,10115014,11115766
Drama,None,None,R,None,Illuminata,None,8/6/1999,10000000,836641,836641
Thriller,None,None,PG-13,None,The Sixth Sense,None,8/6/1999,40000000,293506292,672806292
Comedy,None,None,PG-13,None,Dick,None,8/4/1999,13000000,6276869,6276869
Comedy Adventure,None,None,PG-13,None,Mystery Men,None,8/6/1999,68000000,29762011,33462011
Crime,None,None,R,None,The Thomas Crown Affair,None,8/6/1999,48000000,69304264,124304264
Comedy,None,None,R,None,Mickey Blue Eyes,None,8/20/1999,40000000,33864342,53864342
Horror,None,None,R,None,Deep Blue Sea,None,7/28/1999,60000000,73648228,165048228
Comedy,None,None,PG,None,Runaway Bride,None,7/30/1999,70000000,152257509,310138178
Animated,Medium,None,PG,None,The Iron Giant,Light,8/4/1999,50000000,23159305,31333917
Pornographic Thriller,None,None,R,None,Eyes Wide Shut,None,7/16/1999,65000000,55691208,104267443
Comedy,None,None,R,None,The Wood,None,7/16/1999,6000000,25059640,25059640
Fantasy-Comedy,None,None,PG,None,Inspector Gadget,None,7/23/1999,75000000,97387965,97387965
Drama,None,None,,None,Twin Falls Idaho,None,7/30/1999,500000,985341,1027228
Drama,None,None,R,None,Summer Of Sam,None,7/2/1999,22000000,19288130,19288130
Comedy,None,None,PG-13,None,Lost And Found,None,4/23/1999,14000000,6552255,6552255
Drama,None,None,R,None,A Walk On The Moon,None,3/26/1999,14000000,4741987,4741987
Science fiction thriller,None,None,R,None,Virus,None,1/15/1999,75000000,14010690,30626690
Science fiction thriller,None,None,R,None,The Faculty,None,12/25/1998,15000000,40283321,40283321
Musical,None,None,R,None,Little Voice,None,12/4/1998,6000000,4595000,21787233
War,None,None,R,None,The Thin Red Line,None,12/23/1998,52000000,36400491,97709034
Drama,None,None,R,None,Shakespeare In Love,None,12/11/1998,26000000,100317794,279500000
Comedy,None,None,PG-13,None,Patch Adams,None,12/25/1998,50000000,135014968,202173000
Comedy,Heavy,None,PG-13,Light,My Fellow Americans,Medium,12/20/1996,21500000,22331846,22331846
Comedy,Heavy,Medium,R,Medium,Jerry Maguire,Light,12/13/1996,50000000,153952592,274000000
Historical,Heavy,None,PG-13,None,Ghosts Of Mississippi,Medium,12/20/1996,36000000,13052741,13052741
Action-adventure,Heavy,None,PG-13,Light,Daylight,Medium,12/6/1996,80000000,32908290,158908290
Science-Fiction,Light,None,PG-13,Light,Star Trek: First Contact,Medium,11/22/1996,46000000,92027888,150000000
Comedy,Light,None,PG,None,Jingle All The Way,Light,11/22/1996,60000000,60592389,129832389
Drama,Light,Light,PG-13,Light,Shine,Light,11/22/1996,5500000,35811509,36672493
Drama,Heavy,Heavy,R,Heavy,The Funeral,Heavy,11/1/1996,12500000,1212799,1412799
Action,Heavy,Medium,R,Heavy,Set It Off,Heavy,11/6/1996,9000000,36049108,36049108
Comedy,Heavy,None,R,Light,Swingers,None,10/18/1996,200000,4505922,6618578
Drama,Medium,Heavy,R,Light,The English Patient,Light,11/15/1996,35000000,78716374,231710008
Comedy,Light,None,R,Heavy,The Mirror Has Two Faces,None,11/15/1996,42000000,41267469,41267469
Science Fiction,Light,None,PG,None,Space Jam,Light,11/15/1996,80000000,90463534,250200000
Drama,Heavy,None,R,Light,Trees Lounge,Light,10/11/1996,1300000,749741,749741
Drama,Heavy,Light,R,None,Get On The Bus,Light,10/16/1996,2400000,5691854,5691854
Thriller,Heavy,None,R,Light,Ransom,Heavy,11/8/1996,70000000,136492681,308700000
Film noir,Heavy,Medium,R,Medium,Bound,Medium,10/4/1996,4500000,3802260,7011317
Action-adventure,Heavy,Medium,R,Light,The Long Kiss Goodnight,None,10/11/1996,65000000,33447612,33447612
Drama,Heavy,None,R,None,Michael Collins,Heavy,10/11/1996,25000000,11092559,27572844
Thriller,Medium,None,R,None,The Ghost And The Darkness,Heavy,10/11/1996,55000000,38564422,38564422
Drama,Heavy,None,Unrated by MPAA,Light,Sling Blade,Medium,11/20/1996,4833610,24475416,34175000
Action,Heavy,Light,R,None,The Glimmer Man,Heavy,10/4/1996,45000000,20404841,36404841
Drama,Heavy,Medium,R,None,Sleepers,Heavy,10/18/1996,44000000,53300852,165600852
Action,Medium,Light,R,Medium,Last Man Standing,Heavy,9/20/1996,67000000,18115927,18115927
Action,Medium,Medium,R,Medium,Maximum Risk,Heavy,9/13/1996,25000000,14102929,51702929
Thriller,Heavy,Light,R,None,Extreme Measures,Medium,9/27/1996,38000000,17378193,17378193
Comedy,Medium,None,PG,Light,The First Wives Club,Light,9/20/1996,30000000,105489203,181489203
Science-Fiction,Light,None,PG-13,None,The Island Of Dr. Moreau,Heavy,8/23/1996,40000000,27682712,27682712
Drama,Heavy,Heavy,R,Heavy,Stonewall,Heavy,7/26/1996,2000000,304602,304602
Science Fiction,Light,None,PG,None,Bogus,None,9/6/1996,32000000,4357406,4357406
Thriller,Heavy,None,R,None,The Fan,Heavy,8/16/1996,55000000,18582965,18582965
Docu-drama,Heavy,Light,R,Light,Basquiat,Light,8/9/1996,3000000,2962051,2962051
Comedy,Heavy,Medium,R,Light,Tin Cup,Light,8/16/1996,45000000,53854588,75854588
Science Fiction,None,None,PG,None,Matilda,Light,12/31/2017,25000000,0,9434926
Science Fiction,Medium,None,PG-13,None,Chain Reaction,Medium,8/2/1996,55000000,21226204,60209334
Comedy,Light,None,PG-13,Light,Jack,Light,8/9/1996,45000000,58617334,58617334
Drama,Heavy,Heavy,R,Heavy,Trainspotting,Light,7/19/1996,3100000,16501785,71558971
Action-Adventure,Heavy,Heavy,R,Heavy,Fled,Heavy,7/19/1996,30000000,17192205,19892205
Comedy,Medium,None,PG-13,Light,Multiplicity,None,7/17/1996,45000000,20133326,20133326
Fairy Tale,Light,None,G,None,The Adventures Of Pinocchio,Light,7/26/1996,25000000,15382170,36682170
Comedy,Heavy,Light,R,Light,Walking And Talking,None,7/17/1996,1000000,1287480,1615787
War,Heavy,None,R,None,Courage Under Fire,Heavy,7/12/1996,46000000,59003384,100833145
Drama,Heavy,None,R,Medium,Lone Star,Medium,6/21/1996,5000000,12961389,12961389
Drama,Heavy,None,R,None,A Time To Kill,Heavy,7/24/1996,40000000,108766007,152266007
Science Fiction,Heavy,Light,PG-13,Light,Independence Day,Medium,7/2/1996,75000000,306169255,817400878
Drama,None,None,PG,None,Emma,Light,8/2/1996,5900000,22231658,37831658
Comedy,Heavy,Light,R,Medium,Kingpin,Medium,7/26/1996,25000000,25023424,32223424
Comedy,Heavy,None,PG-13,Medium,The Nutty Professor,Medium,6/28/1996,55000000,128814019,273814019
Drama,Heavy,None,PG,Light,Phenomenon,None,7/5/1996,32000000,104636382,152036382
Animation,Light,None,G,Light,The Hunchback Of Notre Dame,Medium,6/21/1996,100000000,100138851,325500000
Drama,Heavy,None,,Light,Taxi Driver,Heavy,2/8/1976,1000000,28262574,28316211
Drama,Medium,None,R,None,Kansas City,Medium,8/16/1996,19000000,1353824,1353824
Action,Heavy,None,R,Light,The Rock,Heavy,6/7/1996,75000000,134069511,336069511
Drama,Medium,None,PG,None,Harriet The Spy,Light,7/10/1996,13000000,26570048,26570048
Action,Medium,Light,PG,None,The Phantom,Medium,6/7/1996,45000000,17220599,17220599
Comedy,Medium,Medium,PG-13,Light,Spy Hard,Medium,5/24/1996,18000000,26936265,26936265
Action,Light,None,PG-13,Light,Dragonheart,Light,5/31/1996,57000000,51364680,104364680
Comedy,Medium,None,PG-13,Light,The Pallbearer,Light,5/3/1996,8000000,5656388,5656388
Thriller,Heavy,None,PG-13,None,Twister,Medium,5/10/1996,88000000,241688385,495700000
Family,Medium,None,PG,None,Flipper,Medium,5/17/1996,25530000,20080020,30593313
Occult Thriller,Heavy,None,R,Light,The Craft,Heavy,5/3/1996,15000000,24769466,55669466
Comedy,Light,Heavy,R,Medium,Flirting With Disaster,Light,3/22/1996,7000000,14853474,16149180
Comedy,Heavy,None,PG,None,Mrs. Winterbourne,Light,4/19/1996,25000000,10039566,10039566
Animated,Heavy,Light,Not rated by MPAA,Light,Ghost In The Shell,Heavy,3/31/2017,110000000,40563557,167918847
Comedy,Heavy,None,R,Light,Faithful,Light,4/5/1996,13000000,2104439,2104439
Comedy,Heavy,Light,R,Heavy,Girl 6,Light,3/22/1996,12000000,4880941,4880941
Crime Story,Medium,None,R,Medium,Bottle Rocket,Medium,2/21/1996,5000000,407488,407488
Action-adventure,Heavy,None,R,None,Executive Decision,Light,3/15/1996,55000000,56679192,122079192
Horror,Light,Medium,R,Medium,Mary Reilly,Heavy,2/23/1996,47000000,5707094,12900000
Detective,Heavy,Medium,R,Medium,Fargo,Heavy,3/8/1996,7000000,24567751,51204567
Detective,Heavy,Light,R,None,Unforgettable,Heavy,2/23/1996,18000000,2483790,2483790
Detective,Heavy,Light,R,None,Unforgettable,Heavy,4/21/2017,12000000,11368012,16233456
Comedy,Heavy,Light,PG-13,Light,Happy Gilmore,Medium,2/16/1996,10000000,38623460,41004412
Detective,Heavy,None,R,None,City Hall,Light,2/16/1996,40000000,20278055,20278055
Drama,Heavy,Medium,R,Medium,The Juror,Medium,2/2/1996,44000000,22730924,22730924
Action-Thriller,Heavy,None,R,None,Broken Arrow,Heavy,2/9/1996,65000000,70645997,148345997
Action-adventure,Heavy,Light,PG-13,Light,White Squall,Medium,2/2/1996,38000000,10229300,10229300
Horror,Heavy,Heavy,R,Medium,From Dusk Till Dawn,Heavy,1/19/1996,20000000,25728961,25732986
Comedy,Heavy,Medium,R,Medium,Four Rooms,Medium,12/25/1995,4000000,4301000,4301000
Drama,Heavy,None,R,Light,Nixon,Medium,12/20/1995,45000000,13668249,34668249
Tragedy,Medium,Medium,R,Medium,Othello,Heavy,12/14/1995,11000000,2844379,2844379
Action-Adventure,Light,None,PG-13,Light,Cutthroat Island,Medium,12/22/1995,92000000,10017322,18517322
Drama,Heavy,Medium,R,Medium,Richard Iii,None,12/29/1995,9200000,2684904,4199334
Science Fiction,Light,None,PG,None,Jumanji,Medium,12/15/1995,65000000,100458310,262758310
Drama,Medium,Light,R,None,Dead Man Walking,Medium,12/29/1995,11000000,39387284,83088295
Comedy,Light,None,PG,Light,Sabrina,Light,12/15/1995,58000000,53458319,87100000
Drama,None,None,PG,None,Sense And Sensibility,None,12/11/1995,16500000,42993774,134993774
Action,Heavy,Medium,R,Medium,Money Train,Heavy,11/22/1995,68000000,35324232,77224232
Drama,Heavy,Heavy,R,Heavy,Casino,Heavy,11/22/1995,52000000,42438300,110400000
Comedy,Heavy,None,PG-13,None,Home For The Holidays,None,11/3/1995,20000000,17468887,22119269
Action,Light,Heavy,PG-13,Medium,Goldeneye,Heavy,11/17/1995,60000000,106429941,356429941
Drama,Medium,None,PG-13,Light,The American President,None,11/17/1995,62000000,60022813,107822813
Comedy,Light,Medium,PG-13,Medium,Ace Ventura: When Nature Calls,Medium,11/10/1995,30000000,108360063,212400000
Comedy Horror,Heavy,None,R,Medium,Vampire In Brooklyn,Heavy,10/27/1995,14000000,19637147,19637147
Drama,Medium,Heavy,R,Heavy,The Scarlet Letter,Heavy,10/13/1995,50000000,10359006,10359006
Detective,Heavy,Heavy,R,Heavy,Jade,Heavy,10/13/1995,50000000,9812870,9812870
Comedy,Heavy,None,R,Medium,Get Shorty,Medium,10/20/1995,30250000,72021008,115021008
Comedy,Heavy,Medium,R,Medium,Mallrats,Medium,10/20/1995,6100000,2108367,2108367
Drama,Heavy,Medium,R,Heavy,Leaving Las Vegas,Medium,10/27/1995,4000000,31983777,49800000
Comedy,Heavy,Heavy,R,Heavy,To Die For,None,9/27/1995,20000000,21284514,27688744
Pornography,Heavy,Heavy,NC-17,Heavy,Showgirls,Heavy,9/22/1995,40000000,20350754,37750754
Action-adventure,Heavy,None,R,Light,Assassins,Heavy,10/6/1995,50000000,30306268,83306268
Detective,Heavy,None,R,None,Copycat,Heavy,10/27/1995,20000000,32051917,32051917
Action,Heavy,Medium,R,Medium,Desperado,Heavy,8/25/1995,7000000,25532388,25532388
Mystery,Heavy,None,R,Medium,The Usual Suspects,Medium,8/16/1995,6000000,23341568,34449356
Science Fiction,Light,None,PG-13,None,Mortal Kombat,Medium,8/18/1995,20000000,70433227,122133227
Science Fiction,Heavy,None,R,Light,Virtuosity,Heavy,8/4/1995,30000000,23998226,23998226
Science Fiction,Medium,Medium,PG-13,Medium,Waterworld,Medium,7/28/1995,175000000,88246220,264246220
Mystery,Heavy,None,PG-13,Medium,The Net,Medium,7/28/1995,22000000,50621733,110521733
Family,Light,None,G,None,Babe,Light,8/4/1995,30000000,63658910,246100000
Drama,Heavy,Medium,Unrated by MPAA,Heavy,Kids,Light,7/21/1995,1500000,7412216,20412216
Drama,Heavy,None,Not yet rated by MPAA,Light,The Brothers Mcmullen,None,8/9/1995,50000,10426506,10426506
Science Fiction,Light,None,PG,None,The Indian In The Cupboard,Light,7/14/1995,45000000,35627222,35627222
Science Fiction,Heavy,None,R,None,Judge Dredd,Heavy,6/30/1995,85000000,34687912,113487912
Science Fiction,Medium,Heavy,R,Medium,Species,Heavy,7/7/1995,35000000,60054449,113354449
Drama,Light,Medium,R,Medium,Safe,None,4/27/2012,33000000,17142080,41495213
Drama,None,None,PG-13,Light,First Knight,Medium,7/7/1995,75000000,37361412,127361412
Comedy,Heavy,None,R,None,Tales From The Hood,Heavy,5/24/1995,6000000,11784569,11784569
Action,Medium,None,PG-13,None,Congo,Medium,6/9/1995,50000000,81022333,152022333
Animated fantasy,None,None,G,None,Pocahontas,Light,6/10/1995,55000000,141579773,347100000
Action Adventure Fantasy,Medium,None,PG-13,Light,Batman Forever,Medium,6/16/1995,100000000,184031112,336529144
Comedy,Heavy,None,R,Light,Friday,Light,4/26/1995,3500000,27467564,27936778
