,GOV,Level of government,TAX,Tax revenue,VAR,Indicator,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
48,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2013,2013,USD,US Dollar,9,Billions,,,4281.928470000001,,
49,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2014,2014,USD,US Dollar,9,Billions,,,4518.35625,,
50,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2015,2015,USD,US Dollar,9,Billions,,,4752.40938,,
51,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2016,2016,USD,US Dollar,9,Billions,,,4846.31252,,
52,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1965,1965,PC,Percentage,0,Units,,,23.5,,
53,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1966,1966,PC,Percentage,0,Units,,,23.767,,
54,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1967,1967,PC,Percentage,0,Units,,,24.844,,
55,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1968,1968,PC,Percentage,0,Units,,,24.288,,
56,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1969,1969,PC,Percentage,0,Units,,,26.605999999999998,,
57,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1970,1970,PC,Percentage,0,Units,,,25.721,,
58,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1971,1971,PC,Percentage,0,Units,,,23.869,,
59,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1972,1972,PC,Percentage,0,Units,,,24.414,,
60,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1973,1973,PC,Percentage,0,Units,,,24.416,,
61,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1974,1974,PC,Percentage,0,Units,,,25.151,,
62,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1975,1975,PC,Percentage,0,Units,,,24.595,,
63,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1976,1976,PC,Percentage,0,Units,,,23.968000000000004,,
64,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1977,1977,PC,Percentage,0,Units,,,25.215,,
65,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1978,1978,PC,Percentage,0,Units,,,24.963,,
66,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1979,1979,PC,Percentage,0,Units,,,25.17,,
67,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1980,1980,PC,Percentage,0,Units,,,25.526,,
68,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1981,1981,PC,Percentage,0,Units,,,25.94,,
69,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1982,1982,PC,Percentage,0,Units,,,26.045,,
70,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1983,1983,PC,Percentage,0,Units,,,23.986,,
71,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1984,1984,PC,Percentage,0,Units,,,24.092,,
72,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1985,1985,PC,Percentage,0,Units,,,24.614,,
73,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1986,1986,PC,Percentage,0,Units,,,24.573,,
74,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1987,1987,PC,Percentage,0,Units,,,25.611,,
75,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1988,1988,PC,Percentage,0,Units,,,25.4,,
76,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1989,1989,PC,Percentage,0,Units,,,25.59,,
77,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1990,1990,PC,Percentage,0,Units,,,25.962,,
78,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1991,1991,PC,Percentage,0,Units,,,25.789,,
79,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1992,1992,PC,Percentage,0,Units,,,25.671,,
80,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1993,1993,PC,Percentage,0,Units,,,25.874000000000002,,
81,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1994,1994,PC,Percentage,0,Units,,,26.208000000000002,,
82,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1995,1995,PC,Percentage,0,Units,,,26.465,,
83,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1996,1996,PC,Percentage,0,Units,,,26.954,,
84,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1997,1997,PC,Percentage,0,Units,,,27.386,,
85,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1998,1998,PC,Percentage,0,Units,,,27.785999999999998,,
86,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,1999,1999,PC,Percentage,0,Units,,,27.846999999999998,,
87,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2000,2000,PC,Percentage,0,Units,,,28.201999999999998,,
88,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2001,2001,PC,Percentage,0,Units,,,27.159000000000002,,
89,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2002,2002,PC,Percentage,0,Units,,,24.941999999999997,,
90,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2003,2003,PC,Percentage,0,Units,,,24.399,,
91,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2004,2004,PC,Percentage,0,Units,,,24.623,,
92,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2005,2005,PC,Percentage,0,Units,,,25.933000000000003,,
93,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2006,2006,PC,Percentage,0,Units,,,26.663,,
94,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2007,2007,PC,Percentage,0,Units,,,26.713,,
95,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2008,2008,PC,Percentage,0,Units,,,25.69,,
96,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2009,2009,PC,Percentage,0,Units,,,23.017,,
97,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2010,2010,PC,Percentage,0,Units,,,23.494,,
98,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2011,2011,PC,Percentage,0,Units,,,23.9,,
99,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2012,2012,PC,Percentage,0,Units,,,24.069000000000003,,
100,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2013,2013,PC,Percentage,0,Units,,,25.653000000000002,,
101,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2014,2014,PC,Percentage,0,Units,,,25.926,,
102,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2015,2015,PC,Percentage,0,Units,,,26.226,,
103,NES,Total,TOTALTAX,Total tax revenue,TAXGDP,Tax revenue as % of GDP,USA,United States,2016,2016,PC,Percentage,0,Units,,,26.021,,
104,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1965,1965,USD,US Dollar,9,Billions,,,80.28399999999999,,
105,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1966,1966,USD,US Dollar,9,Billions,,,92.33200000000001,,
106,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1967,1967,USD,US Dollar,9,Billions,,,103.587,,
107,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1968,1968,USD,US Dollar,9,Billions,,,107.259,,
108,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1969,1969,USD,US Dollar,9,Billions,,,136.06,,
109,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1970,1970,USD,US Dollar,9,Billions,,,137.834,,
110,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1971,1971,USD,US Dollar,9,Billions,,,128.41,,
111,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1972,1972,USD,US Dollar,9,Billions,,,146.67600000000002,,
112,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1973,1973,USD,US Dollar,9,Billions,,,162.964,,
113,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1974,1974,USD,US Dollar,9,Billions,,,183.229,,
114,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1975,1975,USD,US Dollar,9,Billions,,,191.21599999999998,,
115,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1976,1976,USD,US Dollar,9,Billions,,,205.02,,
116,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1977,1977,USD,US Dollar,9,Billions,,,250.11700000000002,,
117,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1978,1978,USD,US Dollar,9,Billions,,,284.94599999999997,,
118,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1979,1979,USD,US Dollar,9,Billions,,,332.64599999999996,,
119,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1980,1980,USD,US Dollar,9,Billions,,,364.13699999999994,,
120,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1981,1981,USD,US Dollar,9,Billions,,,407.348,,
121,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1982,1982,USD,US Dollar,9,Billions,,,413.236,,
122,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1983,1983,USD,US Dollar,9,Billions,,,395.466,,
123,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1984,1984,USD,US Dollar,9,Billions,,,437.195,,
124,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1985,1985,USD,US Dollar,9,Billions,,,485.353,,
125,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1986,1986,USD,US Dollar,9,Billions,,,506.681,,
126,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1987,1987,USD,US Dollar,9,Billions,,,583.067,,
127,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1988,1988,USD,US Dollar,9,Billions,,,607.745,,
128,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1989,1989,USD,US Dollar,9,Billions,,,673.047,,
129,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1990,1990,USD,US Dollar,9,Billions,,,701.7310000000001,,
130,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1991,1991,USD,US Dollar,9,Billions,,,690.712,,
131,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1992,1992,USD,US Dollar,9,Billions,,,726.8860000000001,,
132,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1993,1993,USD,US Dollar,9,Billions,,,786.041,,
133,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1994,1994,USD,US Dollar,9,Billions,,,846.688,,
134,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1995,1995,USD,US Dollar,9,Billions,,,923.53717,,
135,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1996,1996,USD,US Dollar,9,Billions,,,1029.453,,
136,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1997,1997,USD,US Dollar,9,Billions,,,1136.066,,
137,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1998,1998,USD,US Dollar,9,Billions,,,1232.514,,
138,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,1999,1999,USD,US Dollar,9,Billions,,,1322.433,,
139,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2000,2000,USD,US Dollar,9,Billions,,,1453.86486,,
140,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2001,2001,USD,US Dollar,9,Billions,,,1393.72867,,
141,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2002,2002,USD,US Dollar,9,Billions,,,1198.55214,,
142,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2003,2003,USD,US Dollar,9,Billions,,,1201.95163,,
143,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2004,2004,USD,US Dollar,9,Billions,,,1310.7047400000001,,
144,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2005,2005,USD,US Dollar,9,Billions,,,1574.86554,,
145,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2006,2006,USD,US Dollar,9,Billions,,,1770.52285,,
146,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2007,2007,USD,US Dollar,9,Billions,,,1867.48634,,
147,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2008,2008,USD,US Dollar,9,Billions,,,1749.4806899999999,,
148,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2009,2009,USD,US Dollar,9,Billions,,,1337.38245,,
149,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2010,2010,USD,US Dollar,9,Billions,,,1491.5299699999998,,
150,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2011,2011,USD,US Dollar,9,Billions,,,1712.8594600000001,,
151,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2012,2012,USD,US Dollar,9,Billions,,,1824.35277,,
152,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2013,2013,USD,US Dollar,9,Billions,,,2018.07536,,
153,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2014,2014,USD,US Dollar,9,Billions,,,2172.96492,,
154,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2015,2015,USD,US Dollar,9,Billions,,,2331.1317,,
155,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXNAT,Tax revenue in national currency,USA,United States,2016,2016,USD,US Dollar,9,Billions,,,2366.2545,,
156,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1965,1965,PC,Percentage,0,Units,,,11.296,,
157,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1966,1966,PC,Percentage,0,Units,,,11.794,,
158,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1967,1967,PC,Percentage,0,Units,,,12.338,,
159,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1968,1968,PC,Percentage,0,Units,,,11.915999999999999,,
160,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1969,1969,PC,Percentage,0,Units,,,13.845,,
161,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1970,1970,PC,Percentage,0,Units,,,12.811,,
162,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1971,1971,PC,Percentage,0,Units,,,10.995999999999999,,
163,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1972,1972,PC,Percentage,0,Units,,,11.437000000000001,,
164,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1973,1973,PC,Percentage,0,Units,,,11.408,,
165,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1974,1974,PC,Percentage,0,Units,,,11.83,,
166,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1975,1975,PC,Percentage,0,Units,,,11.322000000000001,,
167,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1976,1976,PC,Percentage,0,Units,,,10.919,,
168,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1977,1977,PC,Percentage,0,Units,,,11.991,,
169,NES,Total,1000,"1000 Taxes on income, profits and capital gains",TAXGDP,Tax revenue as % of GDP,USA,United States,1978,1978,PC,Percentage,0,Units,,,12.092,,
