Country,Year,Top_1
Bahrain,2014,0.1800491661
Bahrain,2015,0.1800491363
Bahrain,2016,0.1800491363
Brazil,1980,
Brazil,1981,
Brazil,1982,
Brazil,1983,
Brazil,1984,
Brazil,1985,
Brazil,1986,
Brazil,1987,
Brazil,1988,
Brazil,1989,
Brazil,1990,
Brazil,1991,
Brazil,1992,
Brazil,1993,
Brazil,1994,
Brazil,1995,
Brazil,1996,
Brazil,1997,
Brazil,1998,
Brazil,1999,
Brazil,2000,
Brazil,2001,0.2621078193
Brazil,2002,0.2741512954
Brazil,2003,0.2719913423
Brazil,2004,0.2731543481
Brazil,2005,0.2790429592
Brazil,2006,0.2822521329
Brazil,2007,0.2829338014
Brazil,2008,0.2928557396
Brazil,2009,0.2744282484
Brazil,2010,0.2819020152
Brazil,2011,0.2961478829
Brazil,2012,0.2773123085
Brazil,2013,0.2765117884
Brazil,2014,0.2752178907
Brazil,2015,0.2834923565
Brazil,2016,
Canada,1980,0.0888400003
Canada,1981,0.0854599997
Canada,1982,0.0889199972
Canada,1983,0.0876199976
Canada,1984,0.0872699991
Canada,1985,0.0887999982
Canada,1986,0.0915300027
Canada,1987,0.0988000035
Canada,1988,0.1074099988
Canada,1989,0.1190299988
Canada,1990,0.1018199995
Canada,1991,0.1028800011
Canada,1992,0.1046999991
Canada,1993,0.1128793806
Canada,1994,0.1138787419
Canada,1995,0.1089721546
Canada,1996,0.115042977
Canada,1997,0.1245833933
Canada,1998,0.1299234033
Canada,1999,0.1324736327
Canada,2000,0.1462172419
Canada,2001,0.1384549588
Canada,2002,0.1334631443
Canada,2003,0.1322860122
Canada,2004,0.1396823227
Canada,2005,0.1472896636
Canada,2006,0.1542644501
Canada,2007,0.1563159674
Canada,2008,0.1437743753
Canada,2009,0.1329844296
Canada,2010,0.1362325102
Canada,2011,
Canada,2012,
Canada,2013,
Canada,2014,
Canada,2015,
Canada,2016,
China,1980,0.0641875416
China,1981,0.0671045855
China,1982,0.0693992749
China,1983,0.071132049
China,1984,0.0745489895
China,1985,0.0800383985
China,1986,0.0796553493
China,1987,0.078705132
China,1988,0.0800209716
China,1989,0.0820573643
China,1990,0.0809592009
China,1991,0.0831794664
China,1992,0.0875099003
China,1993,0.0919518322
China,1994,0.0943841115
China,1995,0.0928906947
China,1996,0.0955081731
China,1997,0.0955219269
China,1998,0.0984110087
China,1999,0.0992660969
China,2000,0.1037262157
China,2001,0.1086816937
China,2002,0.1254931092
China,2003,0.1313174665
China,2004,0.138194114
China,2005,0.1419794858
China,2006,0.1476702243
China,2007,0.1526713073
China,2008,0.1518040448
China,2009,0.1541334093
China,2010,0.1512302607
China,2011,0.1458948404
China,2012,0.137501657
China,2013,0.1381418705
China,2014,0.1366090924
China,2015,0.1392377019
China,2016,
Colombia,1980,
Colombia,1981,
Colombia,1982,
Colombia,1983,
Colombia,1984,
Colombia,1985,
Colombia,1986,
Colombia,1987,
Colombia,1988,
Colombia,1989,
Colombia,1990,
Colombia,1991,
Colombia,1992,
Colombia,1993,0.2047886997
Colombia,1994,0.2053832561
Colombia,1995,0.2076213211
Colombia,1996,0.2129773349
Colombia,1997,0.2085102797
Colombia,1998,0.1977385432
Colombia,1999,0.1809916496
Colombia,2000,0.1731733978
Colombia,2001,0.1731353104
Colombia,2002,0.1795530319
Colombia,2003,0.1991904974
Colombia,2004,0.1780479103
Colombia,2005,0.1879939437
Colombia,2006,0.1993895322
Colombia,2007,0.2049466521
Colombia,2008,0.2025484741
Colombia,2009,0.2016527355
Colombia,2010,0.2044717073
Colombia,2011,
Colombia,2012,
Colombia,2013,
Colombia,2014,
Colombia,2015,
Colombia,2016,
Cote d’Ivoire,1980,
Cote d’Ivoire,1981,
Cote d’Ivoire,1982,
Cote d’Ivoire,1983,
Cote d’Ivoire,1984,
Cote d’Ivoire,1985,
Cote d’Ivoire,1986,
Cote d’Ivoire,1987,
Cote d’Ivoire,1988,0.2078353763
Cote d’Ivoire,1989,
Cote d’Ivoire,1990,
Cote d’Ivoire,1991,
Cote d’Ivoire,1992,
Cote d’Ivoire,1993,0.1498757601
Cote d’Ivoire,1994,
Cote d’Ivoire,1995,
Cote d’Ivoire,1996,
Cote d’Ivoire,1997,
Cote d’Ivoire,1998,0.1758098602
Cote d’Ivoire,1999,
Cote d’Ivoire,2000,
Cote d’Ivoire,2001,
Cote d’Ivoire,2002,0.2102794051
Cote d’Ivoire,2003,
Cote d’Ivoire,2004,
Cote d’Ivoire,2005,
Cote d’Ivoire,2006,
Cote d’Ivoire,2007,
Cote d’Ivoire,2008,0.1828965396
Cote d’Ivoire,2009,
Cote d’Ivoire,2010,
Cote d’Ivoire,2011,
Cote d’Ivoire,2012,
Cote d’Ivoire,2013,
Cote d’Ivoire,2014,0.1708035618
Cote d’Ivoire,2015,
Cote d’Ivoire,2016,
Croatia,1980,
Croatia,1981,
Croatia,1982,
Croatia,1983,
Croatia,1984,
Croatia,1985,
Croatia,1986,
Croatia,1987,
Croatia,1988,
Croatia,1989,
Croatia,1990,
Croatia,1991,
Croatia,1992,
Croatia,1993,
Croatia,1994,
Croatia,1995,
Croatia,1996,
Croatia,1997,0.0768505931
Croatia,1998,
Croatia,1999,0.0848250538
Croatia,2000,0.0820316002
Croatia,2001,0.0841868967
Croatia,2002,0.0826632008
Croatia,2003,0.0820586011
Croatia,2004,0.082813397
Croatia,2005,0.0825773031
Croatia,2006,0.0848357007
Croatia,2007,0.0860121027
Croatia,2008,0.0841991976
Croatia,2009,0.0839911029
Croatia,2010,0.0824166015
Croatia,2011,0.0828946978
Croatia,2012,0.0835814029
Croatia,2013,0.0839826986
Croatia,2014,
Croatia,2015,
Croatia,2016,
Czech Republic,1980,0.0258063767
Czech Republic,1981,
Czech Republic,1982,
Czech Republic,1983,
Czech Republic,1984,
Czech Republic,1985,0.0253774896
Czech Republic,1986,
Czech Republic,1987,
Czech Republic,1988,0.029902773
Czech Republic,1989,
Czech Republic,1990,
Czech Republic,1991,
Czech Republic,1992,0.0653704107
Czech Republic,1993,0.0693202466
Czech Republic,1994,0.0733454302
Czech Republic,1995,0.0774477199
Czech Republic,1996,0.0816290751
Czech Republic,1997,0.0816806182
Czech Republic,1998,0.0817308128
Czech Republic,1999,0.0817797258
Czech Republic,2000,0.0818273798
Czech Republic,2001,0.0818738192
Czech Republic,2002,0.0819191113
Czech Republic,2003,0.084492147
Czech Republic,2004,0.0891321674
Czech Republic,2005,0.0942274481
Czech Republic,2006,0.0866732523
Czech Republic,2007,0.0909796804
Czech Republic,2008,0.1133683771
Czech Republic,2009,0.1014601439
Czech Republic,2010,0.0942978784
Czech Republic,2011,0.0944147706
Czech Republic,2012,0.1020159349
Czech Republic,2013,0.0912247747
Czech Republic,2014,0.0909343287
Czech Republic,2015,0.0919668376
Czech Republic,2016,
Denmark,1980,0.0547177158
Denmark,1981,0.0537682399
Denmark,1982,0.0521372817
Denmark,1983,0.0527044721
Denmark,1984,0.0526441745
Denmark,1985,0.0521227382
Denmark,1986,0.0515063256
Denmark,1987,0.0524474122
Denmark,1988,0.0517788082
Denmark,1989,0.0523623303
Denmark,1990,0.0516990162
Denmark,1991,0.0501147434
Denmark,1992,0.050155364
Denmark,1993,0.0513122603
Denmark,1994,0.0500377528
Denmark,1995,0.0503484607
Denmark,1996,0.0511977226
Denmark,1997,0.0524412915
Denmark,1998,0.0540043451
Denmark,1999,0.0547281355
Denmark,2000,0.0573006943
Denmark,2001,0.0562413819
Denmark,2002,0.0554540716
Denmark,2003,0.0550186932
Denmark,2004,0.0556569323
Denmark,2005,0.0578119941
Denmark,2006,0.0591270141
Denmark,2007,0.0612019598
Denmark,2008,0.0605180897
Denmark,2009,0.0543752797
Denmark,2010,0.064146094
Denmark,2011,
Denmark,2012,
Denmark,2013,
Denmark,2014,
Denmark,2015,
Denmark,2016,
Egypt,1980,
Egypt,1981,
Egypt,1982,
Egypt,1983,
Egypt,1984,
Egypt,1985,
Egypt,1986,
Egypt,1987,
Egypt,1988,
Egypt,1989,
Egypt,1990,0.1948013902
Egypt,1991,0.1948013902
Egypt,1992,0.1948013902
Egypt,1993,0.1948013902
Egypt,1994,0.1948013902
Egypt,1995,0.1948013902
Egypt,1996,0.1948013902
Egypt,1997,0.1948013902
Egypt,1998,0.1948013902
Egypt,1999,0.1948013753
Egypt,2000,0.1948013902
Egypt,2001,0.1948013753
Egypt,2002,0.1799387634
Egypt,2003,0.1799387634
Egypt,2004,0.1799387485
Egypt,2005,0.1799387634
Egypt,2006,0.1857962906
Egypt,2007,0.1857962906
Egypt,2008,0.1857962757
Egypt,2009,0.1671114415
Egypt,2010,0.1671556383
Egypt,2011,0.1642104685
Egypt,2012,0.1642104834
Egypt,2013,0.1642104834
Egypt,2014,0.1913076341
Egypt,2015,0.191307649
Egypt,2016,0.191307649
Finland,1980,0.0431892201
Finland,1981,0.0396032333
Finland,1982,0.0354945101
Finland,1983,0.0348903984
Finland,1984,0.0411078297
Finland,1985,0.0402584784
Finland,1986,0.0385570116
Finland,1987,0.0502515212
Finland,1988,0.0495848358
Finland,1989,0.0470277928
Finland,1990,
Finland,1991,
Finland,1992,
Finland,1993,0.0571600012
Finland,1994,0.0566999987
Finland,1995,0.0612999983
Finland,1996,0.0593199991
Finland,1997,0.0683299974
Finland,1998,0.076229997
Finland,1999,0.0945999995
Finland,2000,0.099650003
Finland,2001,0.0885799974
Finland,2002,0.0865899995
Finland,2003,0.0875800028
Finland,2004,0.0965299979
Finland,2005,0.0759999976
Finland,2006,0.0838899985
Finland,2007,0.0825800002
Finland,2008,0.0849800035
Finland,2009,0.0745700002
Finland,2010,
Finland,2011,
Finland,2012,
Finland,2013,
Finland,2014,
Finland,2015,
Finland,2016,
France,1980,0.0817492977
France,1981,0.0821397975
France,1982,0.0751655996
France,1983,0.0733006969
France,1984,0.0746871978
France,1985,0.0773738995
France,1986,0.082470201
France,1987,0.0901914984
France,1988,0.0915504023
France,1989,0.0952000991
France,1990,0.0933156013
France,1991,0.0914717987
France,1992,0.0861617997
France,1993,0.0908591002
France,1994,0.0917858034
France,1995,0.0922586024
France,1996,0.1003340036
France,1997,0.1043780968
France,1998,0.1067387983
France,1999,0.1060158983
France,2000,0.1102560014
France,2001,0.1131867021
France,2002,0.1094869971
France,2003,0.1135222018
France,2004,0.1161718965
France,2005,0.1147103012
France,2006,0.1123552993
France,2007,0.1168607995
France,2008,0.1156987995
France,2009,0.1017547995
France,2010,0.1084370017
France,2011,0.1145292968
France,2012,0.1043196991
France,2013,0.1079455987
France,2014,0.107965298
France,2015,
France,2016,
Germany,1980,0.1064785868
Germany,1981,
Germany,1982,
Germany,1983,0.0983793437
Germany,1984,
Germany,1985,
Germany,1986,0.1021505743
Germany,1987,
Germany,1988,
Germany,1989,0.1144025698
Germany,1990,
Germany,1991,
Germany,1992,0.0948769823
Germany,1993,
Germany,1994,
Germany,1995,0.0815665126
Germany,1996,
Germany,1997,
Germany,1998,0.1182412356
Germany,1999,
Germany,2000,
Germany,2001,0.1140401065
Germany,2002,0.1105062738
Germany,2003,0.1053818688
Germany,2004,0.111033991
Germany,2005,0.129333511
Germany,2006,0.1322488189
Germany,2007,0.1403578371
Germany,2008,0.1451653838
Germany,2009,0.1317414641
Germany,2010,0.1313128322
Germany,2011,0.13113451
Germany,2012,0.1302376539
Germany,2013,0.1323438883
Germany,2014,
Germany,2015,
Germany,2016,
Hungary,1980,0.0263199992
Hungary,1981,
Hungary,1982,0.0255200006
Hungary,1983,
Hungary,1984,0.0247399993
Hungary,1985,
Hungary,1986,0.0263700001
Hungary,1987,
Hungary,1988,0.0349799991
Hungary,1989,
Hungary,1990,
Hungary,1991,
Hungary,1992,0.0650700033
Hungary,1993,0.0684600025
Hungary,1994,0.0685599968
Hungary,1995,0.0704900026
Hungary,1996,0.0775500014
Hungary,1997,0.0793699995
Hungary,1998,0.0819600001
Hungary,1999,0.0859600008
Hungary,2000,0.0896800011
Hungary,2001,0.0953899994
Hungary,2002,0.0916299969
Hungary,2003,0.0896899998
Hungary,2004,0.0880099982
Hungary,2005,0.0973299965
Hungary,2006,0.1005999967
Hungary,2007,0.1046999991
Hungary,2008,0.0963900015
Hungary,2009,
Hungary,2010,
Hungary,2011,
Hungary,2012,
Hungary,2013,
Hungary,2014,
Hungary,2015,
Hungary,2016,
India,1980,0.0733517706
India,1981,0.0669511706
India,1982,0.0611003675
India,1983,0.1031218544
India,1984,0.0888889953
India,1985,0.1045239866
India,1986,0.1080759615
India,1987,0.1032121181
India,1988,0.1111080498
India,1989,0.1102437526
India,1990,0.1045716852
India,1991,0.1016135961
India,1992,0.100050956
India,1993,0.1246909723
India,1994,0.1235810891
India,1995,0.1301126778
India,1996,0.1321267933
India,1997,0.1382676065
India,1998,0.1435961574
India,1999,0.1470239609
India,2000,0.1511836946
India,2001,0.1588525772
India,2002,0.1668246239
India,2003,0.1751028597
India,2004,0.1836893559
India,2005,0.192585215
India,2006,0.1965763718
India,2007,0.2005404383
India,2008,0.2044674456
India,2009,0.2083471268
India,2010,0.2121691108
India,2011,0.2113887221
India,2012,0.2130029351
India,2013,0.2159219086
India,2014,0.2134274244
India,2015,0.2134274244
India,2016,
Indonesia,1980,
Indonesia,1981,
Indonesia,1982,0.0717125684
Indonesia,1983,
Indonesia,1984,
Indonesia,1985,
Indonesia,1986,
Indonesia,1987,0.0799050629
Indonesia,1988,
Indonesia,1989,
Indonesia,1990,0.0805098936
Indonesia,1991,
Indonesia,1992,
Indonesia,1993,0.0910085216
Indonesia,1994,
Indonesia,1995,
Indonesia,1996,0.0968752205
Indonesia,1997,
Indonesia,1998,0.1242204979
Indonesia,1999,0.1365053058
Indonesia,2000,0.1381569952
Indonesia,2001,0.1551557034
Indonesia,2002,0.1047350019
Indonesia,2003,0.0976317376
Indonesia,2004,0.0846468285
Indonesia,2005,
Indonesia,2006,
Indonesia,2007,
Indonesia,2008,
Indonesia,2009,
Indonesia,2010,
Indonesia,2011,
Indonesia,2012,
Indonesia,2013,
Indonesia,2014,
Indonesia,2015,
Indonesia,2016,
Iran,1980,
Iran,1981,
Iran,1982,
Iran,1983,
Iran,1984,
Iran,1985,
Iran,1986,
Iran,1987,
Iran,1988,
Iran,1989,
Iran,1990,0.1801729202
Iran,1991,0.1801729351
Iran,1992,0.1801729202
Iran,1993,0.1801729351
Iran,1994,0.1801729202
Iran,1995,0.1801729202
Iran,1996,0.1801729351
Iran,1997,0.1801729351
Iran,1998,0.1801729202
Iran,1999,0.1801729202
Iran,2000,0.1801729351
Iran,2001,0.1801729351
Iran,2002,0.1801729053
Iran,2003,0.18017295
Iran,2004,0.1801729053
Iran,2005,0.1801729202
Iran,2006,0.1801728755
Iran,2007,0.1801728904
Iran,2008,0.1801729202
Iran,2009,0.1801729202
Iran,2010,0.1801729202
Iran,2011,0.1801729351
Iran,2012,0.1626455784
Iran,2013,0.1626455635
Iran,2014,0.1626455486
Iran,2015,0.1626455635
Iran,2016,0.1626455486
Iraq,1980,
Iraq,1981,
Iraq,1982,
Iraq,1983,
Iraq,1984,
Iraq,1985,
Iraq,1986,
Iraq,1987,
Iraq,1988,
Iraq,1989,
Iraq,1990,0.2202304006
Iraq,1991,0.2202304006
Iraq,1992,0.2202304006
Iraq,1993,0.2202304155
Iraq,1994,0.2202304006
Iraq,1995,0.2202304155
Iraq,1996,0.2202304155
Iraq,1997,0.2202304155
Iraq,1998,0.2202304155
Iraq,1999,0.2202304006
Iraq,2000,0.2202304155
Iraq,2001,0.2202304155
Iraq,2002,0.2202304006
Iraq,2003,0.2202304006
Iraq,2004,0.2202304155
Iraq,2005,0.2202304155
Iraq,2006,0.2202304155
Iraq,2007,0.2202304006
Iraq,2008,0.2202304155
Iraq,2009,0.2202304006
Iraq,2010,0.2202304006
Iraq,2011,0.2202304006
Iraq,2012,0.2202304006
Iraq,2013,0.2202304006
Iraq,2014,0.2202304155
Iraq,2015,0.2202304006
Iraq,2016,0.2202304006
Ireland,1980,0.0560000017
Ireland,1981,0.0535999984
Ireland,1982,0.0579000004
Ireland,1983,0.0593999997
Ireland,1984,0.0546999983
Ireland,1985,0.0527999997
Ireland,1986,0.0516999997
Ireland,1987,0.0516999997
Ireland,1988,0.0518000014
Ireland,1989,0.0537
Ireland,1990,0.0559
Ireland,1991,0.0614
Ireland,1992,0.0658999979
Ireland,1993,0.0636000037
Ireland,1994,0.0667999983
Ireland,1995,0.0703999996
Ireland,1996,0.0713
Ireland,1997,0.0766000003
Ireland,1998,0.0877000019
Ireland,1999,0.0892999992
Ireland,2000,0.0966000035
Ireland,2001,0.0935000032
Ireland,2002,0.0923999995
Ireland,2003,0.0939999968
Ireland,2004,0.0984999985
Ireland,2005,0.1045999974
Ireland,2006,0.1130999997
Ireland,2007,0.1059999987
Ireland,2008,0.0967999995
Ireland,2009,0.0962999985
Ireland,2010,0.0952999964
Ireland,2011,0.0936999992
Ireland,2012,0.0966999978
Ireland,2013,0.0979000032
Ireland,2014,0.0995000005
Ireland,2015,0.1150000021
Ireland,2016,
Italy,1980,0.0689999983
Italy,1981,0.0647
Italy,1982,0.064000003
Italy,1983,0.0634000003
Italy,1984,0.0653999969
Italy,1985,0.0680999979
Italy,1986,0.0713
Italy,1987,0.074500002
Italy,1988,0.0759999976
Italy,1989,0.0778999999
Italy,1990,0.0777999982
Italy,1991,0.0784000009
Italy,1992,0.0781000033
Italy,1993,0.0791999996
Italy,1994,0.0798999965
Italy,1995,0.08134
Italy,1996,
Italy,1997,
Italy,1998,0.0873999968
Italy,1999,0.0882000029
Italy,2000,0.0908999965
Italy,2001,0.0927999988
Italy,2002,0.0927999988
Italy,2003,0.0935999975
Italy,2004,0.0927999988
Italy,2005,0.0935000032
Italy,2006,0.0972099975
Italy,2007,0.0986099988
Italy,2008,0.0965700001
Italy,2009,0.09375
Italy,2010,
Italy,2011,
Italy,2012,
Italy,2013,
Italy,2014,
Italy,2015,
Italy,2016,
Japan,1980,0.0835800022
Japan,1981,0.0825299993
Japan,1982,0.0821899995
Japan,1983,0.0822900012
Japan,1984,0.0825000033
Japan,1985,0.083829999
Japan,1986,0.0887100026
Japan,1987,0.102959998
Japan,1988,0.1056699976
Japan,1989,0.1190100014
Japan,1990,0.1298500001
Japan,1991,0.1213599965
Japan,1992,0.0842199996
Japan,1993,0.0863900036
Japan,1994,0.0855199993
Japan,1995,0.0866900012
Japan,1996,0.0890199989
Japan,1997,0.084040001
Japan,1998,0.0847499967
Japan,1999,0.0873899981
Japan,2000,0.0905800015
Japan,2001,0.09375
Japan,2002,0.0951299965
Japan,2003,0.0979600027
Japan,2004,0.1046900004
Japan,2005,0.11039
Japan,2006,0.1131199971
Japan,2007,0.113470003
Japan,2008,0.1089600027
Japan,2009,0.1042200029
Japan,2010,0.1043900028
Japan,2011,
Japan,2012,
Japan,2013,
Japan,2014,
Japan,2015,
Japan,2016,
Jordan,1980,
Jordan,1981,
Jordan,1982,
Jordan,1983,
Jordan,1984,
Jordan,1985,
Jordan,1986,
Jordan,1987,
Jordan,1988,
Jordan,1989,
Jordan,1990,0.2027403116
Jordan,1991,0.2027403116
Jordan,1992,0.2027402967
Jordan,1993,0.2027403116
Jordan,1994,0.2027402967
Jordan,1995,0.2027402967
Jordan,1996,0.2027402967
Jordan,1997,0.2027402967
Jordan,1998,0.1456052065
Jordan,1999,0.1457668245
Jordan,2000,0.1457668245
Jordan,2001,0.1457668245
Jordan,2002,0.1457668096
Jordan,2003,0.1457668245
Jordan,2004,0.1527975649
Jordan,2005,0.15279755
Jordan,2006,0.1527975649
Jordan,2007,0.1570125818
Jordan,2008,0.1570123732
Jordan,2009,0.2195298225
Jordan,2010,0.2195298374
Jordan,2011,0.2195298225
Jordan,2012,0.1609857678
Jordan,2013,0.1609857678
Jordan,2014,0.1609857678
Jordan,2015,0.1609857678
Jordan,2016,0.1609857678
Korea,1980,0.0747052059
Korea,1981,0.0714295954
Korea,1982,0.0726628602
Korea,1983,0.0745876804
Korea,1984,0.0734835789
Korea,1985,0.0715765581
Korea,1986,
Korea,1987,
Korea,1988,
Korea,1989,
Korea,1990,
Korea,1991,
Korea,1992,
Korea,1993,
Korea,1994,
Korea,1995,0.0687622353
Korea,1996,0.0726975352
Korea,1997,0.0749290958
Korea,1998,0.0658187568
Korea,1999,0.0754505396
Korea,2000,0.0818750933
Korea,2001,0.0855483711
Korea,2002,0.0916317701
Korea,2003,0.0922174677
Korea,2004,0.0963863954
Korea,2005,0.0996331573
Korea,2006,0.1077593043
Korea,2007,0.1128318831
Korea,2008,0.1137240529
Korea,2009,0.1133281812
Korea,2010,0.1175935864
Korea,2011,0.1224612147
Korea,2012,0.1222704053
Korea,2013,
Korea,2014,
Korea,2015,
Korea,2016,
Kuwait,1980,
Kuwait,1981,
Kuwait,1982,
Kuwait,1983,
Kuwait,1984,
Kuwait,1985,
Kuwait,1986,
Kuwait,1987,
Kuwait,1988,
Kuwait,1989,
Kuwait,1990,0.2277614921
Kuwait,1991,0.2140632123
Kuwait,1992,0.2029203624
Kuwait,1993,0.1935458779
Kuwait,1994,0.1974939257
Kuwait,1995,0.201718241
Kuwait,1996,0.2042709291
Kuwait,1997,0.2040779144
Kuwait,1998,0.2047623247
Kuwait,1999,0.2012726665
Kuwait,2000,0.1968358755
Kuwait,2001,0.1972307116
Kuwait,2002,0.1981945783
Kuwait,2003,0.1995266229
Kuwait,2004,0.2032488436
Kuwait,2005,0.207122758
Kuwait,2006,0.2095124424
Kuwait,2007,0.2123063356
Kuwait,2008,0.2104968727
Kuwait,2009,0.2089121789
Kuwait,2010,0.2088148743
Kuwait,2011,0.196431309
Kuwait,2012,0.1974136382
Kuwait,2013,0.1982274204
Kuwait,2014,0.1985735893
Kuwait,2015,0.1993261278
Kuwait,2016,0.1993261129
Lebanon,1980,
Lebanon,1981,
Lebanon,1982,
Lebanon,1983,
Lebanon,1984,
Lebanon,1985,
Lebanon,1986,
Lebanon,1987,
Lebanon,1988,
Lebanon,1989,
Lebanon,1990,0.2156803757
Lebanon,1991,0.2156803608
Lebanon,1992,0.2156803608
Lebanon,1993,0.2156803906
Lebanon,1994,0.2156803757
Lebanon,1995,0.2156803757
Lebanon,1996,0.2156803757
Lebanon,1997,0.2156803608
Lebanon,1998,0.2156803906
Lebanon,1999,0.2156803459
Lebanon,2000,0.2156803757
Lebanon,2001,0.2156803757
Lebanon,2002,0.2156803459
Lebanon,2003,0.2156803459
Lebanon,2004,0.2156803608
Lebanon,2005,0.2156803757
Lebanon,2006,0.213116914
Lebanon,2007,0.2359281033
Lebanon,2008,0.2369366735
Lebanon,2009,0.2314533889
Lebanon,2010,0.2326063961
Lebanon,2011,0.2348811924
Lebanon,2012,0.2350261062
Lebanon,2013,0.2331542969
Lebanon,2014,0.2339945883
Lebanon,2015,0.2339945734
Lebanon,2016,0.2335719764
Malaysia,1980,
Malaysia,1981,
Malaysia,1982,
Malaysia,1983,0.078702122
Malaysia,1984,0.0835080966
Malaysia,1985,0.0907925889
Malaysia,1986,0.0965756848
Malaysia,1987,
Malaysia,1988,0.0790274888
Malaysia,1989,
Malaysia,1990,
Malaysia,1991,
Malaysia,1992,
Malaysia,1993,0.091885291
Malaysia,1994,0.0897429362
Malaysia,1995,0.088835679
Malaysia,1996,
Malaysia,1997,
Malaysia,1998,
Malaysia,1999,
Malaysia,2000,0.0818477347
Malaysia,2001,0.0795741901
Malaysia,2002,0.089324519
Malaysia,2003,0.0948181078
Malaysia,2004,
Malaysia,2005,0.0945494622
Malaysia,2006,
Malaysia,2007,
Malaysia,2008,
Malaysia,2009,0.0941300467
Malaysia,2010,0.0942526832
Malaysia,2011,0.0894851536
Malaysia,2012,0.0911032706
Malaysia,2013,
Malaysia,2014,
Malaysia,2015,
Malaysia,2016,
Mauritius,1980,0.0672001988
Mauritius,1981,0.0624720156
Mauritius,1982,0.0579526871
Mauritius,1983,0.0539466441
Mauritius,1984,0.0499240533
Mauritius,1985,0.0497479402
Mauritius,1986,0.049503427
Mauritius,1987,0.0491826311
Mauritius,1988,0.0423345901
Mauritius,1989,0.0475546718
Mauritius,1990,0.0493087843
Mauritius,1991,0.0501264445
Mauritius,1992,
Mauritius,1993,0.0453701168
Mauritius,1994,0.0468930416
Mauritius,1995,0.0462102741
Mauritius,1996,0.0451782458
Mauritius,1997,0.0449768566
Mauritius,1998,0.0474934913
Mauritius,1999,
Mauritius,2000,
Mauritius,2001,0.0485090762
Mauritius,2002,0.0389607772
Mauritius,2003,0.0513314903
Mauritius,2004,0.0527568981
Mauritius,2005,0.0497560129
Mauritius,2006,0.0595853776
Mauritius,2007,0.0651800856
Mauritius,2008,0.0711682439
Mauritius,2009,
Mauritius,2010,0.0703464597
Mauritius,2011,0.0708233416
Mauritius,2012,
Mauritius,2013,
Mauritius,2014,
Mauritius,2015,
Mauritius,2016,
Netherlands,1980,
Netherlands,1981,0.0584999993
Netherlands,1982,
Netherlands,1983,
Netherlands,1984,
Netherlands,1985,0.0592
Netherlands,1986,
Netherlands,1987,
Netherlands,1988,
Netherlands,1989,0.057
