Country,Year,National_Income_Top_1
USA,1990,0.14542
USA,1991,0.1389099956
USA,1992,0.1501300037
USA,1993,0.1464399993
USA,1994,0.1468700022
USA,1995,0.1528300047
USA,1996,0.1596699953
USA,1997,0.1662900001
USA,1998,0.1692299992
USA,1999,0.1770900041
USA,2000,0.1826599985
USA,2001,0.1726800054
USA,2002,0.1705799997
USA,2003,0.1720200032
USA,2004,0.1832199991
USA,2005,0.193719998
USA,2006,0.201000005
USA,2007,0.1986699998
USA,2008,0.1951999962
USA,2009,0.1854099929
USA,2010,0.1979999989
USA,2011,0.1959999949
USA,2012,0.2077900022
USA,2013,0.1959200054
USA,2014,0.2019999921
USA,2015,
USA,2016,
United Kingdom,1965,0.0855000019
United Kingdom,1966,0.0791999996
United Kingdom,1967,0.0768999979
United Kingdom,1968,0.0754000023
United Kingdom,1969,0.0746000037
United Kingdom,1970,0.0705000013
United Kingdom,1971,0.0702000037
United Kingdom,1972,0.0693999976
United Kingdom,1973,0.0698999986
United Kingdom,1974,0.0653999969
United Kingdom,1975,0.0610000007
United Kingdom,1976,0.0588999987
United Kingdom,1977,0.0593000017
United Kingdom,1978,0.0571999997
United Kingdom,1979,0.0593000017
United Kingdom,1980,
United Kingdom,1981,0.0666999966
United Kingdom,1982,0.0684999973
United Kingdom,1983,0.0683000013
United Kingdom,1984,0.0715999976
United Kingdom,1985,0.074000001
United Kingdom,1986,0.0754999965
United Kingdom,1987,0.0777999982
United Kingdom,1988,0.0863000005
United Kingdom,1989,0.0866999999
United Kingdom,1990,0.0979999974
United Kingdom,1991,0.1032077074
United Kingdom,1992,0.0986000001
United Kingdom,1993,0.1036000028
United Kingdom,1994,0.1059999987
United Kingdom,1995,0.1075000018
United Kingdom,1996,0.1190000027
United Kingdom,1997,0.1207063645
United Kingdom,1998,0.1252992004
United Kingdom,1999,0.1323896348
United Kingdom,2000,0.1350871325
United Kingdom,2001,0.1338610947
United Kingdom,2002,0.1302582026
United Kingdom,2003,0.1323894262
United Kingdom,2004,0.1330055445
United Kingdom,2005,0.1422375441
United Kingdom,2006,0.1482000053
United Kingdom,2007,0.1544000059
United Kingdom,2008,0.1540468186
United Kingdom,2009,0.1542000026
United Kingdom,2010,0.1254999936
United Kingdom,2011,0.1293037534
United Kingdom,2012,0.1269690245
United Kingdom,2013,0.1452693045
United Kingdom,2014,0.1388271302
United Kingdom,2015,
United Kingdom,2016,
